Timestamp		ThreadID		Accion		Transicion		Detalle
1510615841248		9		Bloqueado			T11		[nosensibilizada]
1510615841248		10		Bloqueado			T12		[nosensibilizada]
1510615841248		11		Disparando			T31		[ejecutado]
1510615841249		12		Disparando			T21		[ejecutado]
1510615841249		13		Disparando			T10		[ejecutado]
1510615841249		13		Bloqueado			T10		[nosensibilizada]
1510615841250		9		Disparando			T11		[ejecutado]
1510615841250		11		Disparando			T32		[ejecutado]
1510615841250		12		Disparando			T22		[ejecutado]
1510615841250		12		Bloqueado			T22		[nosensibilizada]
1510615841250		9		Bloqueado			T13		[nosensibilizada]
1510615841250		13		Disparando			T10		[ejecutado]
1510615841250		13		Bloqueado			T10		[nosensibilizada]
1510615841251		11		Bloqueado			T32		[nosensibilizada]
1510615841251		12		Bloqueado			T22		[nosensibilizada]
